ADM_TERM,AUB_ID,Gpa upon admission,ADM_FACULTY,ADM_DEGREE,ADM_PROGRAM,ADM_MAJOR,SAVAMCD_PRIM_COLL_DESC,GPA,GRAD_DEGREE,GRAD_FACULTY,GRAD_MAJOR,GRAD_PROGRAM,GRAD_TERM
201820,179,3.89,EA,BEN,BEN-ECMP,ECMP,Lebanese International Univ.,77.5,BEN,EA,ECMP,BEN-ECMP,202130
202310,180,3.33,AS,BS,BS-BIOL,BIOL,"Univ.St.Esprit,Kaslik",3.6,,,,,202495
201720,181,2.86,AG,BS,BS-NTDT,NTDT,"Leb. Am. University,Ras Beirut",87.8,BS,AG,NTCP,BS-NTCP,202030
201620,182,3.22,AS,BS,BS-GEOL,GEOL,"N.D.University, Louaize",78.1,BS,AS,GEOL,BS-GEOL,201910
201220,183,3.31,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",76.4,BBA,SB,BADM,BBA-BUADM,201420
202210,184,4,SB,BBA,BBA-BUADM,BADM,"Montgomery College,Maryland",3,,,,,202410
201710,185,3.65,EA,BEN,BEN-CHME,CHME,"N.D.University, Louaize",85,BEN,EA,CHME,BEN-CHME,202020
202110,186,2.75,AS,BA,BA-POLS,POLS,"Leb. Am. University,Ras Beirut",3.5,BA,AS,POLS,BA-POLS,202210
201820,187,3.6,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",83,BBA,SB,BADM,BBA-BUADM,202020
201810,188,3.44,EA,BEN,BEN-EMCH,EMCH,"Leb. Am. University,Ras Beirut",87.1,BEN,EA,ECMP,BEN-ECMP,202120
201420,189,3.43,AS,BS,BS-BIOL,BIOL,"Leb. Am. University,Ras Beirut",83.8,BS,AS,BIOL,BS-BIOL,201520
202120,190,2.92,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",3.2,BBA,SB,BADM,BBA-BUADM,202320
201810,191,2.58,AG,BS,BS-FSMT,FSMT,"Leb. Am. University,Ras Beirut",82.6,BS,AG,FSMT,BS-FSMT,202010
201720,192,3.08,EA,BEN,BEN-EECE,EECE,"N.D.University, Louaize",75.1,BEN,EA,EECE,BEN-EECE,202130
201410,193,3.9,EA,BEN,BEN-EECE,EECE,"Leb. Am. University,Ras Beirut",82.7,BEN,EA,EECE,BEN-EECE,201630
201910,194,3.55,SB,BBA,BBA-BUADM,BADM,Lebanese Canadian University,80.5,BBA,SB,BADM,BBA-BUADM,202120
201710,195,4,EA,BEN,BEN-EMCH,EMCH,"Leb. Am. University,Ras Beirut",92.6,BEN,EA,EMCH,BEN-EMCH,202010
201620,196,3.5,AG,BSA,BSA-AGRI,AGRI,"Leb. Am. University,Ras Beirut",89.2,BSA,AG,AGRI,BSA-AGRI,201920
201810,197,3.2,EA,BEN,BEN-EMCH,EMCH,Balamand University,86,BEN,EA,EMCH,BEN-EMCH,202010
202210,198,3.32,AS,BS,BS-BIOL,BIOL,Haigazian University,0,,,,,
202220,199,3.32,AS,BS,BS-BIOL,BIOL,Haigazian University,0,,,,,
202010,200,3.22,AG,BSA,BSA-AGRI,AGRI,Balamand University,3.1,BSA,AG,AGRI,BSA-AGRI,202130
201220,201,3.4,SB,BBA,BBA-BUADM,BADM,"Leb. Am. University,Ras Beirut",62.3,,,,,201310
201210,202,3.43,EA,BEN,BEN-ECIV,ECIV,"N.D.University, Louaize",81.8,BEN,EA,ECIV,BEN-ECIV,201430
202220,203,2.67,AG,BSA,BSA-AGRI,AGRI,University of North Texas,2.6,,,,,202395
201720,204,3.4,EA,BAR,BAR-ARCH,ARCH,Acad Lib des Beaux Arts(ALBA),81.6,BAR,EA,ARCH,BAR-ARCH,202120
202210,205,3.75,AS,BA,BA-ECON,ECON,"Leb.Amer.University, Jbeil",4,BA,AS,ECON,BA-ECON,202320
201410,206,3.82,EA,BAR,BAR-ARCH,ARCH,"Leb. Am. University,Ras Beirut",85.5,BAR,EA,ARCH,BAR-ARCH,201820
201510,207,3.24,AS,BA,BA-PSYC,PSYC,"Leb. Am. University,Ras Beirut",76.7,BA,AS,PSYC,BA-PSYC,201620
201610,208,3.18,NU,BSN,BSN-NURS,NURS,Makassed Univ/Col.Nurs&H.Sc,81.4,BSN,NU,NURS,BSN-NURS,202010
